Driver,AvgQualifyingPosition,AvgFinishingPosition
VER,1.0,1.0
NOR,2.0,2.0
ANT,3.0,3.0
PIA,4.0,4.0
RUS,5.0,5.0
SAI,6.0,6.0
ALB,7.0,7.0
LEC,8.0,8.0
OCO,9.0,9.0
TSU,10.0,10.0
HAD,11.0,11.0
HAM,12.0,12.0
BOR,13.0,13.0
DOO,14.0,14.0
LAW,15.0,15.0
HUL,16.0,16.0
ALO,17.0,17.0
GAS,18.0,18.0
STR,19.0,19.0
BEA,20.0,20.0
