Driver,AvgRaceLapTime,ReadableAvgLap,PitStopCount,QualiPosition,FinalPosition,AirTemp,TrackTemp,Humidity,GP,Year,AvgQualifyingPosition,AvgFinishingPosition
ALB,,,,16.0,20.0,18.25,30.03,59.75,Pre-Season Track Session,2022,,
ALO,98.37809999999999,1:38.378,3.0,7.0,5.0,18.25,30.03,59.75,Pre-Season Track Session,2022,11.047619047619047,10.238095238095237
BOT,101.37231578947369,1:41.372,1.0,12.0,17.0,18.25,30.03,59.75,Pre-Season Track Session,2022,3.761904761904762,7.619047619047619
GAS,100.90948,1:40.909,2.0,11.0,16.0,18.25,30.03,59.75,Pre-Season Track Session,2022,6.714285714285714,10.238095238095237
HAM,95.492125,1:35.492,3.0,5.0,3.0,18.25,30.03,59.75,Pre-Season Track Session,2022,2.1904761904761907,3.5238095238095237
LAT,100.08972549019607,1:40.089,3.0,10.0,12.0,18.25,30.03,59.75,Pre-Season Track Session,2022,16.476190476190474,15.666666666666666
LEC,95.70135416666666,1:35.701,2.0,3.0,4.0,18.25,30.03,59.75,Pre-Season Track Session,2022,6.666666666666667,7.476190476190476
MAG,98.85244,1:38.852,2.0,17.0,10.0,18.25,30.03,59.75,Pre-Season Track Session,2022,,
MSC,98.78227999999999,1:38.782,3.0,19.0,8.0,18.25,30.03,59.75,Pre-Season Track Session,2022,18.15,16.857142857142858
NOR,97.42567346938776,1:37.425,3.0,6.0,6.0,18.25,30.03,59.75,Pre-Season Track Session,2022,6.809523809523809,6.904761904761905
OCO,101.55108333333334,1:41.551,2.0,15.0,15.0,18.25,30.03,59.75,Pre-Season Track Session,2022,11.19047619047619,11.380952380952381
PER,97.3095306122449,1:37.309,3.0,4.0,2.0,18.25,30.03,59.75,Pre-Season Track Session,2022,6.428571428571429,6.523809523809524
RIC,98.92147999999999,1:38.921,4.0,14.0,13.0,18.25,30.03,59.75,Pre-Season Track Session,2022,9.428571428571429,8.428571428571429
RUS,,,,8.0,18.0,18.25,30.03,59.75,Pre-Season Track Session,2022,12.476190476190476,13.476190476190476
SAI,94.32280851063828,1:34.322,3.0,1.0,1.0,18.25,30.03,59.75,Pre-Season Track Session,2022,7.857142857142857,6.619047619047619
STR,99.86974509803922,1:39.869,3.0,20.0,11.0,18.25,30.03,59.75,Pre-Season Track Session,2022,13.428571428571429,11.952380952380953
TSU,101.23160784313725,1:41.231,3.0,13.0,14.0,18.25,30.03,59.75,Pre-Season Track Session,2022,13.142857142857142,13.380952380952381
VER,97.74702040816327,1:37.747,4.0,2.0,7.0,18.25,30.03,59.75,Pre-Season Track Session,2022,2.8095238095238093,4.238095238095238
VET,98.75674000000001,1:38.756,3.0,18.0,9.0,18.25,30.03,59.75,Pre-Season Track Session,2022,11.380952380952381,11.80952380952381
ZHO,,,,9.0,19.0,18.25,30.03,59.75,Pre-Season Track Session,2022,,
ALB,107.64545283018867,1:47.645,2.0,11.0,13.0,29.29,35.52,49.62,Pre-Season Test,2022,,
ALO,106.30213461538462,1:46.302,2.0,9.0,7.0,29.29,35.52,49.62,Pre-Season Test,2022,11.047619047619047,10.238095238095237
BOT,105.7689375,1:45.768,1.0,10.0,19.0,29.29,35.52,49.62,Pre-Season Test,2022,3.761904761904762,7.619047619047619
GAS,106.01266666666666,1:46.012,2.0,13.0,14.0,29.29,35.52,49.62,Pre-Season Test,2022,6.714285714285714,10.238095238095237
HAM,103.15706,1:43.157,2.0,5.0,2.0,29.29,35.52,49.62,Pre-Season Test,2022,2.1904761904761907,3.5238095238095237
LAT,108.12381132075471,1:48.123,2.0,20.0,17.0,29.29,35.52,49.62,Pre-Season Test,2022,16.476190476190474,15.666666666666666
LEC,103.09034,1:43.090,2.0,2.0,3.0,29.29,35.52,49.62,Pre-Season Test,2022,6.666666666666667,7.476190476190476
MAG,107.41815094339623,1:47.418,1.0,16.0,9.0,29.29,35.52,49.62,Pre-Season Test,2022,,
MSC,107.74545283018868,1:47.745,2.0,19.0,15.0,29.29,35.52,49.62,Pre-Season Test,2022,18.15,16.857142857142858
NOR,107.3623396226415,1:47.362,2.0,8.0,6.0,29.29,35.52,49.62,Pre-Season Test,2022,6.809523809523809,6.904761904761905
OCO,107.64601886792452,1:47.646,3.0,18.0,11.0,29.29,35.52,49.62,Pre-Season Test,2022,11.19047619047619,11.380952380952381
PER,103.41772,1:43.417,2.0,4.0,4.0,29.29,35.52,49.62,Pre-Season Test,2022,6.428571428571429,6.523809523809524
RIC,108.8837962962963,1:48.883,2.0,17.0,16.0,29.29,35.52,49.62,Pre-Season Test,2022,9.428571428571429,8.428571428571429
RUS,104.32752,1:44.327,3.0,6.0,5.0,29.29,35.52,49.62,Pre-Season Test,2022,12.476190476190476,13.476190476190476
SAI,115.016,1:55.016,,1.0,20.0,29.29,35.52,49.62,Pre-Season Test,2022,7.857142857142857,6.619047619047619
STR,108.42915789473685,1:48.429,1.0,7.0,18.0,29.29,35.52,49.62,Pre-Season Test,2022,13.428571428571429,11.952380952380953
TSU,107.70283018867924,1:47.702,2.0,15.0,10.0,29.29,35.52,49.62,Pre-Season Test,2022,13.142857142857142,13.380952380952381
